Gene	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans	Sodalis glossinidius str. morsitans	Sodalis praecaptivus strain HS1	Candidatus Sodalis pierantonius str. SOPE	Secondary endosymbiont of Ctenarytaina eucalypti	Candidatus Moranella endobia PCIT	Secondary endosymbiont of Heteropsylla cubana	Candidatus Baumannia cicadellinicola strain BGSS	Candidatus Baumannia cicadellinicola strain B-GSS	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	Candidatus Blochmannia chromaiodes str. 640	Candidatus Blochmannia pennsylvanicus str. BPEN	Candidatus Blochmannia floridanus	Candidatus Blochmannia vafer str. BVAF	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri strain 675	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus strain 757	Buchnera aphidicola str. Bp (Baizongia pistaciae)	Buchnera aphidicola BCc	Buchnera aphidicola (Cinara tujafilina)	Buchnera aphidicola str. F009 (Myzus persicae)	Buchnera aphidicola str. W106 (Myzus persicae)	Buchnera aphidicola str. USDA (Myzus persicae)	Buchnera aphidicola str. G002 (Myzus persicae)	Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	Buchnera aphidicola str. LL01 (Acyrthosiphon pisum)	Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum)	Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)	Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	Buchnera aphidicola str. 5A (Acyrthosiphon pisum)	Buchnera aphidicola str. Sg (Schizaphis graminum)
kdsB	Core	Core	Core	Core	Core	Core	Not core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
lolA	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Not core	Core	Core	Core	Not core	Not core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
lolB	Not core	Not core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
lpxH	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
mrdA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
rpmC	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
secE	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core
yjeE	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
yjgP	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Not core	Not core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
coaA	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
coaE	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
dnaC	Not core	Not core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
dnaT	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
fabD	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Not core	Core
fabH	Not core	Not core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
folB	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
folE	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Core
glmS	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Not core	Core	Core
hemA	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
hemB	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
hemD	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Not core	Not core
hemE	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
hemG	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
lexA	Not core	Not core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
lnt	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
lptA	Not core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
lptE	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
mrdB	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
mreC	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
mreD	Core	Not core	Core	Core	Core	Core	Not core	Core	Core	Not core	Not core	Core	Core	Core	Not core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
msbA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
mukB	Not core	Not core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
mukE	Not core	Not core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
mukF	Not core	Not core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
nadD	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core
nadE	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
plsB	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
plsC	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
priA	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Not core	Core	Core	Core
psd	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
pssA	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
rnpA	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Core	Not core	Core
rplY	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rpmH	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rpsT	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
secF	Not core	Not core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
thyA	Core	Core	Core	Core	Core	Not core	Not core	Not core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
topA	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
ubiA	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
ubiB	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
ubiD	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
ubiE	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
zipA	Not core	Not core	Core	Core	Core	Core	Not core	Core	Core	Not core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core	Not core
iscS	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
rpsI	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
nrdA	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
purB	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
aceE	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
aceF	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
ackA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
ahpC	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
apaH	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
aroA	Not core	Core	Core	Core	Core	Not core	Not core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
aroB	Not core	Core	Core	Core	Core	Not core	Not core	Not core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
aroC	Not core	Core	Core	Core	Core	Not core	Not core	Not core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
aroE	Not core	Core	Core	Core	Core	Not core	Core	Not core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
aroK	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
aroQ	Not core	Core	Core	Core	Core	Not core	Core	Not core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
atpA	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
atpB	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core
atpC	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
atpD	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
atpE	Core	Core	Not core	Not core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
atpF	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
atpG	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
atpH	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
carA	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
carB	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
clpP	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
clpX	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
cls	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
csrA	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
cyoA	Core	Core	Core	Core	Not core	Core	Not core	Not core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
cyoB	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
cyoC	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
cyoE	Core	Core	Core	Core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
cysE	Not core	Not core	Core	Core	Core	Core	Core	Not core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
dapF	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
deaD	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
dksA	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
dnaJ	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
dnaK	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
dnaQ	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
efp	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
folA	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
fpr	Core	Core	Core	Core	Core	Core	Not core	Core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
gloB	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
glyA	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core
gnd	Not core	Not core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core
gpmA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
greA	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
grpE	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
grxD	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
hflC	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
hflK	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
hinT	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
hisA	Not core	Not core	Core	Core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
hisB	Not core	Not core	Core	Core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
hisF	Not core	Not core	Core	Core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
hisG	Not core	Not core	Core	Core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
hisH	Not core	Not core	Core	Core	Not core	Not core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
htpX	Core	Core	Core	Core	Core	Core	Core	Not core	Core	Core	Core	Core	Core	Not core	Not core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core	Core
