Gene	Enterobacteriaceae	Endosymbiont	Gammaproteobacteria	Proteobacteria	Bacteria
nusA	Core essential	Core	Not core essential	Not core essential	Core essential
acpS	Core essential	Core	Not core essential	Not core essential	Not core essential
asd	Core essential	Core	Not core essential	Not core essential	Not core essential
asnS	Core essential	Core	Not core essential	Not core essential	Not core essential
bamD	Core essential	Core	Not core essential	Not core essential	Not core essential
cca	Core essential	Core	Not core essential	Not core essential	Not core essential
dapD	Core essential	Core	Not core essential	Not core essential	Not core essential
def	Core essential	Core	Not core essential	Not core essential	Not core essential
dnaG	Core essential	Core	Not core essential	Not core essential	Not core essential
dut	Core essential	Core	Not core essential	Not core essential	Not core essential
eno	Core essential	Core	Not core essential	Not core essential	Not core essential
fabI	Core essential	Core	Not core essential	Not core essential	Not core essential
fldA	Core essential	Core	Not core essential	Not core essential	Not core essential
folC	Core essential	Core	Not core essential	Not core essential	Not core essential
gapA	Core essential	Core	Not core essential	Not core essential	Not core essential
glyQ	Core essential	Core	Not core essential	Not core essential	Not core essential
ispD	Core essential	Core	Not core essential	Not core essential	Not core essential
metG	Core essential	Core	Not core essential	Not core essential	Not core essential
murB	Core essential	Core	Not core essential	Not core essential	Not core essential
murI	Core essential	Core	Not core essential	Not core essential	Not core essential
nusB	Core essential	Core	Not core essential	Not core essential	Not core essential
obg	Core essential	Core	Not core essential	Not core essential	Not core essential
pth	Core essential	Core	Not core essential	Not core essential	Not core essential
rho	Core essential	Core	Not core essential	Not core essential	Not core essential
ribB	Core essential	Core	Not core essential	Not core essential	Not core essential
ribD	Core essential	Core	Not core essential	Not core essential	Not core essential
ribE	Core essential	Core	Not core essential	Not core essential	Not core essential
ribH	Core essential	Core	Not core essential	Not core essential	Not core essential
rimM	Core essential	Core	Not core essential	Not core essential	Not core essential
rpmA	Core essential	Core	Not core essential	Not core essential	Not core essential
rpsR	Core essential	Core	Not core essential	Not core essential	Not core essential
rpsU	Core essential	Core	Not core essential	Not core essential	Not core essential
suhB	Core essential	Core	Not core essential	Not core essential	Not core essential
dnaA	Core essential	Not core	Core essential	Core essential	Core essential
era	Core essential	Not core	Core essential	Core essential	Core essential
murF	Core essential	Not core	Core essential	Core essential	Core essential
rpoC	Core essential	Not core	Core essential	Core essential	Core essential
cdsA	Core essential	Not core	Core essential	Core essential	Not core essential
coaD	Core essential	Not core	Core essential	Core essential	Not core essential
hemH	Core essential	Not core	Core essential	Core essential	Not core essential
ispB	Core essential	Not core	Core essential	Core essential	Not core essential
kdtA	Core essential	Not core	Core essential	Core essential	Not core essential
lptD	Core essential	Not core	Core essential	Core essential	Not core essential
lpxA	Core essential	Not core	Core essential	Core essential	Not core essential
lpxB	Core essential	Not core	Core essential	Core essential	Not core essential
lpxC	Core essential	Not core	Core essential	Core essential	Not core essential
lpxD	Core essential	Not core	Core essential	Core essential	Not core essential
lpxK	Core essential	Not core	Core essential	Core essential	Not core essential
pgsA	Core essential	Not core	Core essential	Core essential	Not core essential
secD	Core essential	Not core	Core essential	Core essential	Not core essential
yjgQ	Core essential	Not core	Core essential	Core essential	Not core essential
accA	Core essential	Not core	Core essential	Not core essential	Not core essential
accB	Core essential	Not core	Core essential	Not core essential	Not core essential
accC	Core essential	Not core	Core essential	Not core essential	Not core essential
accD	Core essential	Not core	Core essential	Not core essential	Not core essential
coaBC	Core essential	Not core	Core essential	Not core essential	Not core essential
fabA	Core essential	Not core	Core essential	Not core essential	Not core essential
ftsQ	Core essential	Not core	Core essential	Not core essential	Not core essential
kdsA	Core essential	Not core	Core essential	Not core essential	Not core essential
kdsB	Core essential	Not core	Core essential	Not core essential	Not core essential
lolA	Core essential	Not core	Core essential	Not core essential	Not core essential
lolB	Core essential	Not core	Core essential	Not core essential	Not core essential
lpxH	Core essential	Not core	Core essential	Not core essential	Not core essential
mrdA	Core essential	Not core	Core essential	Not core essential	Not core essential
rpmC	Core essential	Not core	Core essential	Not core essential	Not core essential
secE	Core essential	Not core	Core essential	Not core essential	Not core essential
yjeE	Core essential	Not core	Core essential	Not core essential	Not core essential
yjgP	Core essential	Not core	Core essential	Not core essential	Not core essential
coaA	Core essential	Not core	Not core essential	Not core essential	Not core essential
coaE	Core essential	Not core	Not core essential	Not core essential	Not core essential
dnaC	Core essential	Not core	Not core essential	Not core essential	Not core essential
dnaT	Core essential	Not core	Not core essential	Not core essential	Not core essential
fabD	Core essential	Not core	Not core essential	Not core essential	Not core essential
fabH	Core essential	Not core	Not core essential	Not core essential	Not core essential
folB	Core essential	Not core	Not core essential	Not core essential	Not core essential
folE	Core essential	Not core	Not core essential	Not core essential	Not core essential
glmS	Core essential	Not core	Not core essential	Not core essential	Not core essential
hemA	Core essential	Not core	Not core essential	Not core essential	Not core essential
hemB	Core essential	Not core	Not core essential	Not core essential	Not core essential
hemD	Core essential	Not core	Not core essential	Not core essential	Not core essential
hemE	Core essential	Not core	Not core essential	Not core essential	Not core essential
hemG	Core essential	Not core	Not core essential	Not core essential	Not core essential
lexA	Core essential	Not core	Not core essential	Not core essential	Not core essential
lnt	Core essential	Not core	Not core essential	Not core essential	Not core essential
lptA	Core essential	Not core	Not core essential	Not core essential	Not core essential
lptE	Core essential	Not core	Not core essential	Not core essential	Not core essential
mrdB	Core essential	Not core	Not core essential	Not core essential	Not core essential
mreC	Core essential	Not core	Not core essential	Not core essential	Not core essential
mreD	Core essential	Not core	Not core essential	Not core essential	Not core essential
msbA	Core essential	Not core	Not core essential	Not core essential	Not core essential
mukB	Core essential	Not core	Not core essential	Not core essential	Not core essential
mukE	Core essential	Not core	Not core essential	Not core essential	Not core essential
mukF	Core essential	Not core	Not core essential	Not core essential	Not core essential
nadD	Core essential	Not core	Not core essential	Not core essential	Not core essential
nadE	Core essential	Not core	Not core essential	Not core essential	Not core essential
plsB	Core essential	Not core	Not core essential	Not core essential	Not core essential
plsC	Core essential	Not core	Not core essential	Not core essential	Not core essential
priA	Core essential	Not core	Not core essential	Not core essential	Not core essential
psd	Core essential	Not core	Not core essential	Not core essential	Not core essential
pssA	Core essential	Not core	Not core essential	Not core essential	Not core essential
rnpA	Core essential	Not core	Not core essential	Not core essential	Not core essential
rplY	Core essential	Not core	Not core essential	Not core essential	Not core essential
rpmH	Core essential	Not core	Not core essential	Not core essential	Not core essential
rpsT	Core essential	Not core	Not core essential	Not core essential	Not core essential
secF	Core essential	Not core	Not core essential	Not core essential	Not core essential
thyA	Core essential	Not core	Not core essential	Not core essential	Not core essential
topA	Core essential	Not core	Not core essential	Not core essential	Not core essential
ubiA	Core essential	Not core	Not core essential	Not core essential	Not core essential
ubiB	Core essential	Not core	Not core essential	Not core essential	Not core essential
ubiD	Core essential	Not core	Not core essential	Not core essential	Not core essential
ubiE	Core essential	Not core	Not core essential	Not core essential	Not core essential
zipA	Core essential	Not core	Not core essential	Not core essential	Not core essential
iscS	Not core essential	Core	Core essential	Core essential	Not core essential
rpsI	Not core essential	Core	Core essential	Not core essential	Core essential
nrdA	Not core essential	Core	Core essential	Not core essential	Not core essential
purB	Not core essential	Core	Core essential	Not core essential	Not core essential
aceE	Not core essential	Core	Not core essential	Not core essential	Not core essential
aceF	Not core essential	Core	Not core essential	Not core essential	Not core essential
ackA	Not core essential	Core	Not core essential	Not core essential	Not core essential
ahpC	Not core essential	Core	Not core essential	Not core essential	Not core essential
apaH	Not core essential	Core	Not core essential	Not core essential	Not core essential
aroA	Not core essential	Core	Not core essential	Not core essential	Not core essential
aroB	Not core essential	Core	Not core essential	Not core essential	Not core essential
aroC	Not core essential	Core	Not core essential	Not core essential	Not core essential
aroE	Not core essential	Core	Not core essential	Not core essential	Not core essential
aroK	Not core essential	Core	Not core essential	Not core essential	Not core essential
aroQ	Not core essential	Core	Not core essential	Not core essential	Not core essential
atpA	Not core essential	Core	Not core essential	Not core essential	Not core essential
atpB	Not core essential	Core	Not core essential	Not core essential	Not core essential
atpC	Not core essential	Core	Not core essential	Not core essential	Not core essential
atpD	Not core essential	Core	Not core essential	Not core essential	Not core essential
atpE	Not core essential	Core	Not core essential	Not core essential	Not core essential
atpF	Not core essential	Core	Not core essential	Not core essential	Not core essential
atpG	Not core essential	Core	Not core essential	Not core essential	Not core essential
atpH	Not core essential	Core	Not core essential	Not core essential	Not core essential
carA	Not core essential	Core	Not core essential	Not core essential	Not core essential
carB	Not core essential	Core	Not core essential	Not core essential	Not core essential
clpP	Not core essential	Core	Not core essential	Not core essential	Not core essential
clpX	Not core essential	Core	Not core essential	Not core essential	Not core essential
cls	Not core essential	Core	Not core essential	Not core essential	Not core essential
csrA	Not core essential	Core	Not core essential	Not core essential	Not core essential
cyoA	Not core essential	Core	Not core essential	Not core essential	Not core essential
cyoB	Not core essential	Core	Not core essential	Not core essential	Not core essential
cyoC	Not core essential	Core	Not core essential	Not core essential	Not core essential
cyoE	Not core essential	Core	Not core essential	Not core essential	Not core essential
cysE	Not core essential	Core	Not core essential	Not core essential	Not core essential
dapF	Not core essential	Core	Not core essential	Not core essential	Not core essential
deaD	Not core essential	Core	Not core essential	Not core essential	Not core essential
dksA	Not core essential	Core	Not core essential	Not core essential	Not core essential
dnaJ	Not core essential	Core	Not core essential	Not core essential	Not core essential
dnaK	Not core essential	Core	Not core essential	Not core essential	Not core essential
dnaQ	Not core essential	Core	Not core essential	Not core essential	Not core essential
efp	Not core essential	Core	Not core essential	Not core essential	Not core essential
folA	Not core essential	Core	Not core essential	Not core essential	Not core essential
fpr	Not core essential	Core	Not core essential	Not core essential	Not core essential
gloB	Not core essential	Core	Not core essential	Not core essential	Not core essential
glyA	Not core essential	Core	Not core essential	Not core essential	Not core essential
gnd	Not core essential	Core	Not core essential	Not core essential	Not core essential
gpmA	Not core essential	Core	Not core essential	Not core essential	Not core essential
greA	Not core essential	Core	Not core essential	Not core essential	Not core essential
grpE	Not core essential	Core	Not core essential	Not core essential	Not core essential
grxD	Not core essential	Core	Not core essential	Not core essential	Not core essential
hflC	Not core essential	Core	Not core essential	Not core essential	Not core essential
hflK	Not core essential	Core	Not core essential	Not core essential	Not core essential
hinT	Not core essential	Core	Not core essential	Not core essential	Not core essential
hisA	Not core essential	Core	Not core essential	Not core essential	Not core essential
hisB	Not core essential	Core	Not core essential	Not core essential	Not core essential
hisF	Not core essential	Core	Not core essential	Not core essential	Not core essential
hisG	Not core essential	Core	Not core essential	Not core essential	Not core essential
hisH	Not core essential	Core	Not core essential	Not core essential	Not core essential
htpX	Not core essential	Core	Not core essential	Not core essential	Not core essential
iscA	Not core essential	Core	Not core essential	Not core essential	Not core essential
lon	Not core essential	Core	Not core essential	Not core essential	Not core essential
lpdA	Not core essential	Core	Not core essential	Not core essential	Not core essential
metE	Not core essential	Core	Not core essential	Not core essential	Not core essential
miaA	Not core essential	Core	Not core essential	Not core essential	Not core essential
minC	Not core essential	Core	Not core essential	Not core essential	Not core essential
minD	Not core essential	Core	Not core essential	Not core essential	Not core essential
mnmA	Not core essential	Core	Not core essential	Not core essential	Not core essential
mnmE	Not core essential	Core	Not core essential	Not core essential	Not core essential
mnmG	Not core essential	Core	Not core essential	Not core essential	Not core essential
nfuA	Not core essential	Core	Not core essential	Not core essential	Not core essential
nth	Not core essential	Core	Not core essential	Not core essential	Not core essential
nuoA	Not core essential	Core	Not core essential	Not core essential	Not core essential
nuoB	Not core essential	Core	Not core essential	Not core essential	Not core essential
nuoC	Not core essential	Core	Not core essential	Not core essential	Not core essential
nuoF	Not core essential	Core	Not core essential	Not core essential	Not core essential
nuoG	Not core essential	Core	Not core essential	Not core essential	Not core essential
nuoH	Not core essential	Core	Not core essential	Not core essential	Not core essential
nuoI	Not core essential	Core	Not core essential	Not core essential	Not core essential
nuoJ	Not core essential	Core	Not core essential	Not core essential	Not core essential
nuoK	Not core essential	Core	Not core essential	Not core essential	Not core essential
nuoL	Not core essential	Core	Not core essential	Not core essential	Not core essential
nuoM	Not core essential	Core	Not core essential	Not core essential	Not core essential
nuoN	Not core essential	Core	Not core essential	Not core essential	Not core essential
orn	Not core essential	Core	Not core essential	Not core essential	Not core essential
pepA	Not core essential	Core	Not core essential	Not core essential	Not core essential
pfkA	Not core essential	Core	Not core essential	Not core essential	Not core essential
pgi	Not core essential	Core	Not core essential	Not core essential	Not core essential
pgl	Not core essential	Core	Not core essential	Not core essential	Not core essential
pitA	Not core essential	Core	Not core essential	Not core essential	Not core essential
pnp	Not core essential	Core	Not core essential	Not core essential	Not core essential
prmC	Not core essential	Core	Not core essential	Not core essential	Not core essential
ptsH	Not core essential	Core	Not core essential	Not core essential	Not core essential
ptsI	Not core essential	Core	Not core essential	Not core essential	Not core essential
purA	Not core essential	Core	Not core essential	Not core essential	Not core essential
purH	Not core essential	Core	Not core essential	Not core essential	Not core essential
pykA	Not core essential	Core	Not core essential	Not core essential	Not core essential
rbfA	Not core essential	Core	Not core essential	Not core essential	Not core essential
recB	Not core essential	Core	Not core essential	Not core essential	Not core essential
recD	Not core essential	Core	Not core essential	Not core essential	Not core essential
rlmE	Not core essential	Core	Not core essential	Not core essential	Not core essential
rlmN	Not core essential	Core	Not core essential	Not core essential	Not core essential
rluC	Not core essential	Core	Not core essential	Not core essential	Not core essential
rluD	Not core essential	Core	Not core essential	Not core essential	Not core essential
rnc	Not core essential	Core	Not core essential	Not core essential	Not core essential
rne	Not core essential	Core	Not core essential	Not core essential	Not core essential
rnt	Not core essential	Core	Not core essential	Not core essential	Not core essential
rpe	Not core essential	Core	Not core essential	Not core essential	Not core essential
rpiA	Not core essential	Core	Not core essential	Not core essential	Not core essential
rplA	Not core essential	Core	Not core essential	Not core essential	Not core essential
rplI	Not core essential	Core	Not core essential	Not core essential	Not core essential
rpmE	Not core essential	Core	Not core essential	Not core essential	Not core essential
rpmF	Not core essential	Core	Not core essential	Not core essential	Not core essential
rpmG	Not core essential	Core	Not core essential	Not core essential	Not core essential
rpmI	Not core essential	Core	Not core essential	Not core essential	Not core essential
rpmJ	Not core essential	Core	Not core essential	Not core essential	Not core essential
rpsO	Not core essential	Core	Not core essential	Not core essential	Not core essential
