Gene	Mycobacterium tuberculosis H37Rv	Synechococcus elongatus PCC 7942	Porphyromonas gingivalis ATCC 33277	Bacteroides thetaiotaomicron VPI-5482	Bacteroides fragilis 638R	Caulobacter crescentus	Brevundimonas subvibrioides ATCC 15264	Rhodopseudomonas palustris CGA009	Agrobacterium fabrum str. C58	Burkholderia thailandensis E264	Burkholderia pseudomallei K96243	Francisella novicida U112	Shewanella oneidensis MR-1	Vibrio cholerae N16961	Haemophilus influenzae Rd KW20	Escherichia coli ST131 strain EC958	Escherichia coli MG1655	Salmonella enterica serovar Typhimurium SL1344	Salmonella enterica serovar Typhi Ty2	Salmonella enterica serovar Typhi	Acinetobacter baumannii ATCC 17978	Pseudomonas aeruginosa PAO1	Helicobacter pylori 26695	Mycoplasma genitalium G37	Mycoplasma pulmonis UAB CTIP	Streptococcus agalactiae A909	Streptococcus pyogenes MGAS5448	Streptococcus pyogenes NZ131	Staphylococcus aureus NCTC 8325	Staphylococcus aureus N315	Bacillus subtilis 168
accC	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential
accD	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential
coaBC	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential
fabA	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
ftsQ	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
kdsA	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
kdsB	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
lolA	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
lolB	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
lpxH	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
mrdA	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
rpmC	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
secE	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
yjeE	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Essential
yjgP	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
coaA	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential
coaE	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential
dnaC	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
dnaT	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
fabD	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential
fabH	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential
folB	Not analysed	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
folE	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
glmS	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential
hemA	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
hemB	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
hemD	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
hemE	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
hemG	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
lexA	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential
lnt	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
lptA	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
lptE	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
mrdB	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
mreC	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
mreD	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
msbA	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
mukB	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
mukE	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
mukF	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
nadD	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential
nadE	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential
plsB	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
plsC	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
priA	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential
psd	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
pssA	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
rnpA	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
rplY	Non-essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential
rpmH	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
rpsT	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
secF	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential
thyA	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
topA	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential
ubiA	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
ubiB	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
ubiD	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
ubiE	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential
zipA	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
iscS	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential
rpsI	Not analysed	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential
nrdA	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
purB	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
aceE	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
aceF	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
ackA	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
ahpC	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
apaH	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
aroA	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
aroB	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
aroC	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
aroE	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
aroK	Not analysed	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
aroQ	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
atpA	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential
atpB	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
atpC	Not analysed	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
atpD	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential
atpE	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
atpF	Not analysed	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Not analysed	Non-essential	Non-essential	Non-essential	Essential	Non-essential
atpG	Essential	Essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Essential	Non-essential	Non-essential	Non-essential
